	(1)	(2)	(3)	(4)
	reg_pols_1	reg_pols_2	reg_pols_3	reg_pols_4
VARIABLES	LN_IED	LN_IED	LN_IED	LN_IED
				
ADT	0.329***	0.259**	-0.0227	0.0707
	(0.107)	(0.106)	(0.115)	(0.117)
dif_imp		0.0210***	0.0211***	0.0174***
		(0.00522)	(0.00521)	(0.00561)
BC		-2.08e-07**	-1.47e-07	-1.73e-07*
		(8.78e-08)	(8.98e-08)	(8.96e-08)
PIB		0.0126**	0.0138***	0.00340
		(0.00524)	(0.00521)	(0.00546)
PIB_per		3.32e-05***	2.57e-05***	3.85e-05***
		(5.43e-06)	(5.49e-06)	(6.63e-06)
IPC		-2.63e-06	-2.55e-06	-3.83e-06
		(9.75e-06)	(9.68e-06)	(9.59e-06)
Acuerdo_comercial			0.391***	0.557***
			(0.0720)	(0.0816)
Acuerdo_prot_inversión			0.425***	0.519***
			(0.134)	(0.136)
o.Distancia_km				-
				
Brent				0.00689***
				(0.00103)
SP_500				-8.10e-05**
				(3.17e-05)
Constant	2.588***	1.469***	1.619***	0.666**
	(0.249)	(0.324)	(0.317)	(0.261)
				
Observations	2,624	2,593	2,593	2,593
R-squared				0.067
Number of ID	41	41	41	41
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
