Fecha;Año;Año;Último
10.12.2023;10/12/23;10/12/23;76,09
03.12.2023;3/12/23;3/12/23;75,84
26.11.2023;26/11/23;26/11/23;78,88
19.11.2023;19/11/23;19/11/23;80,58
12.11.2023;12/11/23;12/11/23;80,61
05.11.2023;5/11/23;5/11/23;81,43
29.10.2023;29/10/23;29/10/23;84,89
22.10.2023;22/10/23;22/10/23;90,48
15.10.2023;15/10/23;15/10/23;92,16
08.10.2023;8/10/23;8/10/23;90,89
01.10.2023;1/10/23;1/10/23;84,58
24.09.2023;24/09/23;24/09/23;95,31
17.09.2023;17/09/23;17/09/23;93,27
10.09.2023;10/09/23;10/09/23;93,93
03.09.2023;3/09/23;3/09/23;90,65
27.08.2023;27/08/23;27/08/23;88,55
20.08.2023;20/08/23;20/08/23;84,48
13.08.2023;13/08/23;13/08/23;84,8
06.08.2023;6/08/23;6/08/23;86,81
30.07.2023;30/07/23;30/07/23;86,24
23.07.2023;23/07/23;23/07/23;84,99
16.07.2023;16/07/23;16/07/23;81,07
09.07.2023;9/07/23;9/07/23;79,87
02.07.2023;2/07/23;2/07/23;78,47
25.06.2023;25/06/23;25/06/23;74,9
18.06.2023;18/06/23;18/06/23;73,85
11.06.2023;11/06/23;11/06/23;76,61
04.06.2023;4/06/23;4/06/23;74,79
28.05.2023;28/05/23;28/05/23;76,13
21.05.2023;21/05/23;21/05/23;76,95
14.05.2023;14/05/23;14/05/23;75,58
07.05.2023;7/05/23;7/05/23;74,17
30.04.2023;30/04/23;30/04/23;75,3
23.04.2023;23/04/23;23/04/23;79,54
16.04.2023;16/04/23;16/04/23;81,66
09.04.2023;9/04/23;9/04/23;85,87
02.04.2023;2/04/23;2/04/23;85,12
26.03.2023;26/03/23;26/03/23;79,89
19.03.2023;19/03/23;19/03/23;74,99
12.03.2023;12/03/23;12/03/23;72,97
05.03.2023;5/03/23;5/03/23;82,78
26.02.2023;26/02/23;26/02/23;85,83
19.02.2023;19/02/23;19/02/23;83,16
12.02.2023;12/02/23;12/02/23;83
05.02.2023;5/02/23;5/02/23;86,39
29.01.2023;29/01/23;29/01/23;79,94
22.01.2023;22/01/23;22/01/23;86,66
15.01.2023;15/01/23;15/01/23;87,63
08.01.2023;8/01/23;8/01/23;85,28
01.01.2023;1/01/23;1/01/23;78,75
25.12.2022;25/12/22;25/12/22;85,91
18.12.2022;18/12/22;18/12/22;83,92
11.12.2022;11/12/22;11/12/22;79,04
04.12.2022;4/12/22;4/12/22;76,1
27.11.2022;27/11/22;27/11/22;85,57
20.11.2022;20/11/22;20/11/22;83,63
13.11.2022;13/11/22;13/11/22;87,62
06.11.2022;6/11/22;6/11/22;95,99
30.10.2022;30/10/22;30/10/22;98,57
23.10.2022;23/10/22;23/10/22;95,77
