	(1)	(2)	(3)	(4)
	reg_did_1	reg_did_2	reg_did_4	reg_did_6
VARIABLES	LN_IED	LN_IED	LN_IED	LN_IED
				
ADT_Trat	0.339	0.150	0.0294	0.0184
	(0.212)	(0.212)	(0.233)	(0.232)
PIB		0.0195*	0.00673	0.00986
		(0.0104)	(0.0108)	(0.0110)
PIB_per		6.17e-05***	6.29e-05***	4.62e-05***
		(1.27e-05)	(1.32e-05)	(1.44e-05)
Var_inflacion		-0.0146*	-0.0147*	-0.0154**
		(0.00766)	(0.00759)	(0.00759)
dif_imp		0.0377***	0.0262**	0.0159
		(0.0105)	(0.0111)	(0.0116)
BC		-5.03e-07***	-4.12e-07**	-4.33e-07**
		(1.74e-07)	(1.78e-07)	(1.75e-07)
Acuerdo_comercial			0.402**	0.403**
			(0.165)	(0.173)
Acuerdo_prot_inversión			0.772***	0.716***
			(0.270)	(0.267)
o.Distancia_km			-	-
				
Brent			0.0170***	0.0175***
			(0.00259)	(0.00277)
SP_500			-0.000363***	-0.000416***
			(7.97e-05)	(8.67e-05)
DXY			0.0399***	0.0475***
			(0.0101)	(0.0109)
Tasa_prestamo				-0.0311**
				(0.0137)
Constant	1.797***	-0.293	-4.676***	-4.428***
	(0.0644)	(0.475)	(1.000)	(1.037)
				
Observations	2,624	2,593	2,593	2,214
R-squared	0.001	0.022	0.047	0.049
Number of ID	41	41	41	36
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
