	(1)	(2)	(3)	(4)
	reg_did_psm_1	reg_did_psm_2	reg_did_psm_4	reg_did_psm_6
VARIABLES	LN_IED	LN_IED	LN_IED	LN_IED
				
tratado_tratamiento	1.101	1.104	0.742	0.651
	(0.784)	(0.779)	(0.640)	(0.631)
tratado_control	0.751	0.861	0.802	0.734
	(0.829)	(0.814)	(0.662)	(0.656)
_pscore	-2.924	-2.097	-0.700	-2.277
	(2.253)	(1.911)	(1.775)	(1.905)
PIB		0.0269*	0.0137	0.0161
		(0.0156)	(0.0155)	(0.0159)
PIB_per		2.87e-05	3.79e-05	2.58e-05
		(2.91e-05)	(2.82e-05)	(2.80e-05)
Var_inflacion		-0.0158***	-0.0155***	-0.0154***
		(0.00468)	(0.00489)	(0.00487)
dif_imp		0.0326**	0.0223	0.0227
		(0.0146)	(0.0180)	(0.0179)
BC		-3.56e-07	-3.59e-07	-2.17e-07
		(3.45e-07)	(3.14e-07)	(2.98e-07)
Acuerdo_comercial			0.415*	0.408*
			(0.251)	(0.245)
Acuerdo_prot_inversión			0.888***	0.857***
			(0.314)	(0.315)
Distancia_km			-0.000267***	-0.000280***
			(6.44e-05)	(5.99e-05)
Brent			0.0169***	0.0164***
			(0.00287)	(0.00288)
SP_500			-0.000379***	-0.000386***
			(0.000147)	(0.000146)
DXY			0.0461***	0.0477***
			(0.0154)	(0.0154)
Tasa_prestamo				-0.0440***
				(0.0158)
Constant	2.044***	0.965	-2.435	-1.270
	(0.619)	(1.256)	(1.735)	(1.859)
				
Observations	2,214	2,214	2,214	2,214
Number of ID	36	36	36	36
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
