	(1)	(2)	(3)	(4)
	reg_pols_1	reg_pols_2	reg_pols_4	reg_pols_6
VARIABLES	LN_IED	LN_IED	LN_IED	LN_IED
				
ADT	0.345*	0.248	0.0145	-0.0411
	(0.207)	(0.206)	(0.226)	(0.225)
PIB		0.0227**	0.0110	0.0113
		(0.0102)	(0.0105)	(0.0108)
PIB_per		3.96e-05***	3.93e-05***	3.44e-05***
		(9.31e-06)	(8.47e-06)	(1.02e-05)
Var_inflacion		-0.0145*	-0.0144*	-0.0153**
		(0.00767)	(0.00759)	(0.00759)
dif_imp		0.0351***	0.0294***	0.0207*
		(0.0101)	(0.0105)	(0.0110)
BC		-5.08e-07***	-4.02e-07**	-4.11e-07**
		(1.72e-07)	(1.76e-07)	(1.74e-07)
Acuerdo_comercial			0.416**	0.395**
			(0.163)	(0.171)
Acuerdo_prot_inversión			0.954***	0.881***
			(0.263)	(0.261)
Distancia_km			-0.000273***	-0.000275***
			(5.53e-05)	(6.05e-05)
Brent			0.0171***	0.0177***
			(0.00259)	(0.00277)
SP_500			-0.000347***	-0.000400***
			(7.91e-05)	(8.56e-05)
DXY			0.0407***	0.0485***
			(0.0101)	(0.0108)
Tasa_prestamo				-0.0321**
				(0.0131)
Constant	1.795***	0.511	-1.924*	-2.065*
	(0.335)	(0.488)	(1.048)	(1.114)
				
Observations	2,624	2,593	2,593	2,214
Number of ID	41	41	41	36
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
