	(1)	(2)	(3)	(4)	(5)	(6)
	reg_psm_1	reg_psm_2	reg_psm_3	reg_psm_4	reg_psm_5	reg_psm_6
VARIABLES	LN_IED	LN_IED	LN_IED	LN_IED	LN_IED	LN_IED
						
Tratamiento	0.531	0.930	0.936	1.096*	1.029*	0.992*
	(0.852)	(0.750)	(0.737)	(0.587)	(0.591)	(0.597)
ps	1.133	0.519	-0.436	-1.026*	-1.395**	-0.857
	(0.971)	(0.446)	(0.625)	(0.562)	(0.646)	(0.767)
PIB		0.0232	0.0217	0.00736	0.00465	0.0141
		(0.0166)	(0.0166)	(0.0166)	(0.0159)	(0.0158)
PIB_per		3.70e-05	2.59e-05	3.87e-05	2.91e-05	3.17e-05
		(2.66e-05)	(2.33e-05)	(2.41e-05)	(2.56e-05)	(2.73e-05)
IPC		-4.72e-06	-4.03e-06	-5.73e-06	-6.65e-06	-6.70e-06
		(5.92e-06)	(5.61e-06)	(5.76e-06)	(5.71e-06)	(5.63e-06)
dif_imp		0.0259	0.0374**	0.0348*	0.0380**	0.0294
		(0.0169)	(0.0186)	(0.0201)	(0.0182)	(0.0186)
BC		-6.75e-07*	-3.51e-07	-2.48e-07	-1.06e-07	-2.56e-07
		(3.71e-07)	(3.38e-07)	(3.56e-07)	(3.48e-07)	(3.61e-07)
Acuerdo_comercial			0.343	0.759***	0.725**	0.464
			(0.253)	(0.291)	(0.338)	(0.384)
Acuerdo_prot_inversión			0.879**	1.516***	1.597***	1.204**
			(0.437)	(0.426)	(0.491)	(0.556)
Distancia_km				-0.000239***	-0.000246***	-0.000254***
				(5.65e-05)	(5.11e-05)	(5.34e-05)
Brent				0.0105***	0.0161***	0.0139***
				(0.00301)	(0.00318)	(0.00342)
SP_500				-0.000187	-0.000348**	-0.000490***
				(0.000139)	(0.000148)	(0.000152)
o.Impago_deuda_sob					-	-
						
Tasa_mer_monetario						-0.346**
						(0.160)
diftasa_mercmonetario					0.00383	0.348**
					(0.0420)	(0.162)
Tasa_prestamo						0.249*
						(0.142)
diftasa_prestamo					-0.0375	-0.288**
					(0.0434)	(0.143)
DXY					0.0324**	0.0416**
					(0.0159)	(0.0202)
Constant	1.024**	-0.162	0.446	1.371	-1.135	-2.954
	(0.480)	(1.035)	(0.956)	(0.871)	(1.812)	(2.041)
						
Observations	2,139	2,139	2,139	2,139	2,139	2,139
R-squared	0.034					
Number of ID		35	35	35	35	35
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
