	(1)	(2)	(3)
	reg_pols_6	reg_did_6	reg_did_psm_6
VARIABLES	LN_IED	LN_IED	LN_IED
			
ADT	-0.0411		
	(0.225)		
PIB	0.0113	0.00986	0.0161
	(0.0108)	(0.0110)	(0.0159)
PIB_per	3.44e-05***	4.62e-05***	2.58e-05
	(1.02e-05)	(1.44e-05)	(2.80e-05)
Var_inflacion	-0.0153**	-0.0154**	-0.0154***
	(0.00759)	(0.00759)	(0.00487)
dif_imp	0.0207*	0.0159	0.0227
	(0.0110)	(0.0116)	(0.0179)
BC	-4.11e-07**	-4.33e-07**	-2.17e-07
	(1.74e-07)	(1.75e-07)	(2.98e-07)
Acuerdo_comercial	0.395**	0.403**	0.408*
	(0.171)	(0.173)	(0.245)
Acuerdo_prot_inversión	0.881***	0.716***	0.857***
	(0.261)	(0.267)	(0.315)
Distancia_km	-0.000275***		-0.000280***
	(6.05e-05)		(5.99e-05)
Brent	0.0177***	0.0175***	0.0164***
	(0.00277)	(0.00277)	(0.00288)
SP_500	-0.000400***	-0.000416***	-0.000386***
	(8.56e-05)	(8.67e-05)	(0.000146)
DXY	0.0485***	0.0475***	0.0477***
	(0.0108)	(0.0109)	(0.0154)
Tasa_prestamo	-0.0321**	-0.0311**	-0.0440***
	(0.0131)	(0.0137)	(0.0158)
ADT_Trat		0.0184	
		(0.232)	
o.Distancia_km		-	
			
tratado_tratamiento			0.651
			(0.631)
tratado_control			0.734
			(0.656)
_pscore			-2.277
			(1.905)
Constant	-2.065*	-4.428***	-1.270
	(1.114)	(1.037)	(1.859)
			
Observations	2,214	2,214	2,214
R-squared		0.049	
Number of ID	36	36	36
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
