	(1)	(2)	(3)
	reg_pols_5	reg_did_5	reg_did_psm_5
VARIABLES	LN_IED	LN_IED	LN_IED
			
tratado_tratamiento			0.829
			(0.586)
tratado_control			0.943
			(0.609)
_pscore			-1.568
			(1.512)
PIB	0.0115	0.0115	0.0142
	(0.0113)	(0.0116)	(0.0170)
PIB_per	3.51e-05***	4.54e-05***	2.98e-05
	(9.56e-06)	(1.47e-05)	(2.28e-05)
IPC	-7.79e-07	-9.60e-07	-2.77e-07
	(1.89e-05)	(1.89e-05)	(4.38e-06)
dif_imp	0.0250**	0.0199*	0.0272
	(0.0111)	(0.0119)	(0.0167)
BC	-4.38e-07**	-4.61e-07**	-2.91e-07
	(1.79e-07)	(1.81e-07)	(2.93e-07)
Acuerdo_comercial	0.437**	0.426**	0.427*
	(0.174)	(0.176)	(0.252)
Acuerdo_prot_inversión	0.965***	0.743***	1.017***
	(0.263)	(0.271)	(0.298)
Distancia_km	-0.000243***		-0.000252***
	(5.39e-05)		(4.73e-05)
Brent	0.0166***	0.0164***	0.0156***
	(0.00288)	(0.00288)	(0.00321)
SP_500	-0.000346***	-0.000363***	-0.000332**
	(9.01e-05)	(9.13e-05)	(0.000147)
Impago_deuda_sob	4.14e-06	5.05e-06	2.12e-06
	(1.80e-05)	(1.80e-05)	(2.99e-06)
diftasa_mercmonetario	0.00164	0.00575	-0.00771
	(0.0274)	(0.0299)	(0.0388)
diftasa_prestamo	-0.0182	-0.0188	-0.0117
	(0.0230)	(0.0257)	(0.0353)
DXY	0.0417***	0.0418***	0.0409**
	(0.0113)	(0.0114)	(0.0168)
ADT	-0.00978	0.0472	
	(0.227)	(0.236)	
o.Distancia_km		-	
			
Constant	-2.189*	-4.397***	-1.825
	(1.131)	(1.085)	(1.997)
			
Observations	2,150	2,150	2,150
R-squared		0.044	
Number of ID	35	35	35
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
