	(1)	(2)	(3)	(4)	(5)	(6)
	reg_did_1	reg_did_2	reg_did_3	reg_did_4	reg_did_5	reg_did_6
VARIABLES	LN_IED	LN_IED	LN_IED	LN_IED	LN_IED	LN_IED
						
ADT	0.339	0.177	-0.0724	0.134	0.0472	0.0131
	(0.212)	(0.212)	(0.230)	(0.233)	(0.236)	(0.235)
PIB		0.0186*	0.0202*	0.00598	0.0115	0.0206*
		(0.0104)	(0.0104)	(0.0109)	(0.0116)	(0.0119)
PIB_per		6.18e-05***	5.58e-05***	6.70e-05***	4.54e-05***	4.32e-05***
		(1.27e-05)	(1.31e-05)	(1.32e-05)	(1.47e-05)	(1.47e-05)
IPC		1.73e-06	2.28e-06	4.36e-07	-9.60e-07	-7.20e-07
		(1.92e-05)	(1.92e-05)	(1.91e-05)	(1.89e-05)	(1.89e-05)
dif_imp		0.0383***	0.0402***	0.0297***	0.0199*	0.0151
		(0.0105)	(0.0106)	(0.0112)	(0.0119)	(0.0122)
BC		-4.95e-07***	-3.98e-07**	-4.46e-07**	-4.61e-07**	-4.83e-07***
		(1.74e-07)	(1.79e-07)	(1.78e-07)	(1.81e-07)	(1.81e-07)
Acuerdo_comercial			0.207	0.534***	0.426**	0.263
			(0.144)	(0.162)	(0.176)	(0.181)
Acuerdo_prot_inversión			0.650**	0.866***	0.743***	0.609**
			(0.268)	(0.270)	(0.271)	(0.273)
o.Distancia_km				-	-	-
						
Brent				0.0107***	0.0164***	0.0135***
				(0.00205)	(0.00288)	(0.00330)
SP_500				-0.000169***	-0.000363***	-0.000533***
				(6.32e-05)	(9.13e-05)	(0.000102)
Impago_deuda_sob					5.05e-06	7.65e-06
					(1.80e-05)	(1.80e-05)
Tasa_mer_monetario						-0.412***
						(0.133)
diftasa_mercmonetario					0.00575	0.419***
					(0.0299)	(0.134)
Tasa_prestamo						0.297**
						(0.118)
diftasa_prestamo					-0.0188	-0.331***
					(0.0257)	(0.117)
DXY					0.0418***	0.0481***
					(0.0114)	(0.0125)
Constant	1.797***	-0.298	-0.153	-1.289**	-4.397***	-5.896***
	(0.0644)	(0.475)	(0.481)	(0.520)	(1.085)	(1.156)
						
Observations	2,624	2,593	2,593	2,593	2,150	2,150
R-squared	0.001	0.021	0.024	0.039	0.044	0.051
Number of ID	41	41	41	41	35	35
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
