	(1)	(2)	(3)	(4)	(5)	(6)
	reg_did_psm_1	reg_did_psm_2	reg_did_psm_3	reg_did_psm_4	reg_did_psm_5	reg_did_psm_6
VARIABLES	LN_IED	LN_IED	LN_IED	LN_IED	LN_IED	LN_IED
						
tratado_tratamiento	1.077	1.225	0.793	0.947	0.829	0.896
	(0.719)	(0.756)	(0.757)	(0.599)	(0.586)	(0.588)
tratado_control	0.733	0.973	0.821	0.893	0.943	1.025*
	(0.767)	(0.800)	(0.789)	(0.637)	(0.609)	(0.613)
_pscore	-2.389	-1.408	-1.346	-0.598	-1.568	-2.237
	(1.859)	(1.615)	(1.586)	(1.422)	(1.512)	(1.636)
PIB		0.0226	0.0239	0.0113	0.0142	0.0257
		(0.0149)	(0.0149)	(0.0155)	(0.0170)	(0.0171)
PIB_per		3.71e-05	3.18e-05	4.13e-05**	2.98e-05	2.57e-05
		(2.57e-05)	(2.48e-05)	(2.05e-05)	(2.28e-05)	(2.25e-05)
IPC		2.38e-06	2.87e-06	4.40e-07	-2.77e-07	3.07e-07
		(4.30e-06)	(4.16e-06)	(4.14e-06)	(4.38e-06)	(4.22e-06)
dif_imp		0.0368**	0.0378**	0.0325*	0.0272	0.0237
		(0.0160)	(0.0155)	(0.0177)	(0.0167)	(0.0167)
BC		-3.59e-07	-2.54e-07	-3.82e-07	-2.91e-07	-2.53e-07
		(3.50e-07)	(3.08e-07)	(3.16e-07)	(2.93e-07)	(2.77e-07)
Acuerdo_comercial			0.241	0.534**	0.427*	0.249
			(0.198)	(0.224)	(0.252)	(0.269)
Acuerdo_prot_inversión			0.701**	1.023***	1.017***	0.861***
			(0.325)	(0.290)	(0.298)	(0.301)
Distancia_km				-0.000287***	-0.000252***	-0.000264***
				(4.06e-05)	(4.73e-05)	(4.83e-05)
Brent				0.0102***	0.0156***	0.0121***
				(0.00245)	(0.00321)	(0.00357)
SP_500				-0.000143	-0.000332**	-0.000517***
				(0.000129)	(0.000147)	(0.000152)
Impago_deuda_sob					2.12e-06	4.43e-06
					(2.99e-06)	(3.19e-06)
Tasa_mer_monetario						-0.446***
						(0.157)
diftasa_mercmonetario					-0.00771	0.436***
					(0.0388)	(0.164)
Tasa_prestamo						0.318**
						(0.139)
diftasa_prestamo					-0.0117	-0.343**
					(0.0353)	(0.146)
DXY					0.0409**	0.0474**
					(0.0168)	(0.0195)
Constant	2.037***	0.569	0.710	1.556	-1.825	-3.060
	(0.501)	(1.201)	(1.167)	(1.057)	(1.997)	(1.943)
						
Observations	2,593	2,593	2,593	2,593	2,150	2,150
Number of ID	41	41	41	41	35	35
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
